trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",25,0,-170.4369462235614,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",20,5,-115.03718595177362,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 2}",1
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",20,0,-160.91874666537055,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",25,0,-133.53024544183023,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",25,14,-49.94394021545707,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",20,0,-154.87246565290508,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",25,0,-293.85926671364393,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 5}",0
184,False,"{'a': 0.5, 'e': 0.07999999999999918}",20,11,9.217536192131305,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.07499999999999918}",25,0,-104.36978781920448,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
186,False,"{'a': 0.5, 'e': 0.06999999999999917}",20,3,-114.06246739442491,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 3}",1
187,False,"{'a': 0.5, 'e': 0.06499999999999917}",25,0,-92.95917516143811,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
188,False,"{'a': 0.5, 'e': 0.05999999999999917}",25,3,-109.8783758925988,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 3}",1
189,False,"{'a': 0.5, 'e': 0.054999999999999175}",30,0,-49.892532746602,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
190,False,"{'a': 0.5, 'e': 0.04999999999999918}",25,0,-132.80407415289235,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,4,-50.78094873109639,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 2}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-261.88285585562215,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 5}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-82.30913653661761,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,15,-1.1414842878681237,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,8,20.274074085466765,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-76.59474199919822,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,8,15.922565244691057,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-177.74040961673435,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 4}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,16,-24.509140136477317,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,13,-36.99326865953829,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
